Title,Authors,Publisher,Year,Abstract,Journal,Volume/Issue,Cited By
Operational Research,Nikolaos F. Matsatsinis,SPRINGER,2024,"Operational Research focuses on advancing Operational Research/Management Science (OR/MS) and Analytics through theoretical insights, developments and real-world case studies. Explores interactions of OR/MS & Analytics with other relevant disciplines. Coverage extends to information technology, computer science, artificial intelligence, soft computing and electronic services. Encourages submissions from interdisciplinary contexts, exploring new directions in OR/MS & Analytics research as well as real-world case studies.",Journal,N/A,N/A
Journal of The Institution of Engineers (India): Series C,Gautam Biswas,SPRINGER,2024,"The Journal of The Institution of Engineers (India): Series C disseminates scientific knowledge on practical engineering and design methodologies relevant to mechanical, production, aerospace and marine engineering. Solicits original unpublished manuscripts in areas including thermal engineering, fluid dynamics, aircraft design, space vehicles, industrial management, ship designing or naval architecture related researches. Covers research and developments in the field of soft computing techniques applied in production engineering, non-trivial machining processes, micro machining, computational fluid mechanics, and more. Provides a platform for sharing research findings and latest developments in the arena of mechanical sciences. Dedicated to benefit researchers, scientists and professionals with its high-value research investigations.",Journal,N/A,N/A
SN Computer Science,"Umapada Pal,",SPRINGER,2024,"SN Computer Science is a broad-based, hybrid, peer reviewed journal that publishes original research in all the disciplines of computer science including various inter-disciplinary aspects. The journal aims to be a global forum of, for, and by the community and offers: Rapid peer review under the expert guidance of a global Editorial Board No color or page charges and free submission High visibility Opportunities to Societies/Conferences/Institutes/Laboratories/Corporates to ‘partner’ with the Journal and enjoy the benefit of planning and publishing issues in hot areas of research, without being under the pressure of publishing a full-fledge journal SN Computer Science welcomes submissions from a wide range of topics including, but not limited to: Artificial Intelligence Robotics Machine learning Computer Vision Pattern Recognition Image Processing Computer Graphics Human-Computer Interface Document and Handwriting  Processing Video Technologies Biometrics and Computer Forensics Soft Computing Brain Computing Quantum Computing Information Retrieval Internet Computing and Data Mining Theoretical Computer Science: Logic, Algorithms, and Complexity Automated Proofs and Formal Verification Computational Geometry Information Theory Speech and Signal Processing Algorithms and Data Structures Programming Languages Software Engineering Computer Architecture Computer and Communication Networks Computer and Network Performance Modeling and Simulation Energy Consumption and Harvesting Computers & Networks Green ICT Computer and Network Security/Privacy Cryptography High Performance Computing Parallel Computing and Architecture Distributed and Cloud Computing Social Networks Database Systems and Theory Computers and Networks in Supply Chains and Manufacturing Computers and Networks for Health Systems Computational Biology and Bioinformatics Cyber-Physical Systems Internet of Things (IoT) Mathematical Programming and Combinatorial Optimization Economics and Computation SN Computer Science publishes papers in the following categories: Original Research, as well as relevant hardware, and/or software architectures, Survey and Review Articles. All papers are evaluated on the basis of scientific content.  Submissions are first screened for research and publication ethics prior to peer review.  The journal reviews each submission from a sound science perspective. SN Computer Science is an online-only journal and its print ISSN (2662-995X) is ceased.",Journal,N/A,N/A
Machine Vision and Applications,Ying Wu,SPRINGER,2024,"Sponsored by the International Association for Pattern Recognition, this journal publishes high-quality, technical contributions in machine vision research and development. Machine Vision and Applications features coverage of all applications and engineering aspects of image-related computing, including original contributions dealing with scientific, commercial, industrial, military, and biomedical applications of machine vision. The journal places particular emphasis on the engineering and technology aspects of image processing and computer vision. It includes coverage of the following aspects of machine vision applications: algorithms, architectures, VLSI implementations, AI techniques and expert systems for machine vision, front-END sensing, multidimensional and multisensor machine vision, real-time techniques, image databases, virtual reality and visualization.",Journal,N/A,N/A
International Journal of Computer Vision,"Yasuyuki Matsushita,",SPRINGER,2024,"International Journal of Computer Vision (IJCV) details the science and engineering of this rapidly growing field. Regular articles present major technical advances of broad general interest. Survey articles offer critical reviews of the state of the art and/or tutorial presentations of pertinent topics. Coverage includes: - Mathematical, physical and computational aspects of computer vision: image formation, processing, analysis, and interpretation; machine learning techniques; statistical approaches; sensors. - Applications: image-based rendering, computer graphics, robotics, photo interpretation, image retrieval, video analysis and annotation, multi-media, and more. - Connections with human perception: computational and architectural aspects of human vision. The journal also features book reviews, position papers, editorials by leading scientific figures, as well as additional on-line material, such as still images, video sequences, data sets, and software. Please note: the median time indicated below is computed over all the submitted manuscripts including the ones that are not put into the review pipeline at the onset of the review process. The typical time to first decision for manuscripts is approximately 96 days.",Journal,N/A,N/A
Pattern Analysis and Applications,Johan Debayle,SPRINGER,2024,"This journal presents original research that describes novel pattern analysis techniques as well as industrial and medical applications. It details new technology and methods for pattern recognition and analysis in applied domains, including computer vision and image processing, speech analysis, robotics, multimedia, document analysis, character recognition, knowledge engineering for pattern recognition, fractal analysis, and intelligent control. Pattern Analysis and Applications (PAA) also examines the use of advanced methods, including statistical techniques, neural networks, genetic algorithms, fuzzy pattern recognition, machine learning, and hardware implementations which are either relevant to the development of pattern analysis as a research area or detail novel pattern analysis applications. The journal contains case-studies as well as reviews on benchmarks, evaluations of tools, and important research activities at international centers of excellence. For all submission-related enquiries, please contact the Journal Editorial Office via “Contacts” or the Senior Editor Dragos Calitoiu at calitoiu@math.carleton.ca.",Journal,N/A,N/A
Advances in Continuous and Discrete Models,N/A,SPRINGER,2024,N/A,Journal,N/A,N/A
The Visual Computer,Nadia Magnenat-Thalmann,SPRINGER,2024,"The Visual Computer publishes articles on all research fields of  capturing, recognizing, modelling, analysing and generating shapes and images. Computer Animation and Simulation Computational Geometry Computational Photography Computer Vision for Computer Graphics Data Compression for Graphics Geometric Modelling and Processing HCI and Computer Graphics Human Modelling Image Based Rendering Image Processing Machine Learning for Graphics Physically Based Modelling Scientific Visualization Shape Modelling Shape Analysis Sketch-based Modelling Texturing Virtual and Augmented Reality Visual Analytics Volume Rendering All papers are subject to thorough review and, if accepted, will be revised accordingly. Original contributions, describing advances in the theory in the above mentioned fields as well as practical results and original applications, are invited.",Journal,N/A,N/A
GeoInformatica,"Shashi Shekhar,",SPRINGER,2024,"Located at the confluence of two rapidly advancing domains, GeoInformatica provides an effective forum for disseminating original and fundamental research and experience in the expanding uses of computer science for spatial studies. Contemporary Earth studies require more and more sophisticated computing tools, and computer processing of Earth observations through Geographic Information Systems (GIS) currently attracts a great deal of attention from governmental, industrial and research worlds. The journal covers spatial modeling and databases; human-computer interfaces for GIS; digital cartography; space imagery; parallelism, distribution and communication through GIS; spatio-temporal reasoning and more. GeoInformatica presents the most innovative research results in the application of computer science applied to geographic information systems.",Journal,N/A,N/A
Journal of Computer Science and Technology,Zhiwei Xu,SPRINGER,2024,"Journal of Computer Science and Technology is an international platform publishing high quality, refereed papers in all aspects of computer science and technology. Sponsored by the Institute of Computing Technology (ICT), Chinese Academy of Sciences (CAS), and China Computer Federation (CCF). Jointly published by ICT, CAS and Springer on a bimonthly basis in English. Coverage includes a wide range of topics from computer architecture to artificial intelligence and pattern recognition. Promotes insight and understanding of the state of the art, and trends in technology. Publishes original research, innovative applications, and surveys/reviews from around the world.",Journal,N/A,N/A
International Journal of Information Technology,M. N. Hoda,SPRINGER,2024,"International Journal of Information Technology is a platform for the dissemination of original, scientific, theoretical or applied research in the fields of Computer Sciences and allied fields. Publishes original research in the numerous fields of Computer Science and Information Technology. Features empirical models, formal techniques, and applications in varied domains of Computer Science. An official publication of Bharati Vidyapeeth’s Institute of Computer Applications and Management (BVICAM), New Delhi. Aims to bridge the gap between research and practice by promoting industry-relevant research. Provides a platform for strong empirical component in research. The journal is indexed on Scopus.",Journal,N/A,N/A
International Journal of Computer-Supported Collaborative Learning,"Michael J. Baker,",SPRINGER,2024,"International Journal of Computer-Supported Collaborative Learning focuses on the design, theory, and practice of technology-rich collaborative learning. The journal is multi-disciplinary, with contributions from, e.g., computer and information science, education, and psychology. It welcomes research that studies collaboration in a wide range of settings and that employs quantitative, qualitative, or computational methods. Explores how to design novel and useful technology settings for collaborative learning. Discusses the use of CSCL in education, business, and society. Studies the psychological, social, and technological impact of CSCL on individuals, groups, organisations, and society. Publishes original empirical investigations, design research studies, critical and integrative theoretical and methodological contributions, and synthetic reviews. An official publication of the International Society of the Learning Sciences.",Journal,N/A,N/A
Journal of Electrical Systems and Information Technology,N/A,SPRINGER,2024,N/A,Journal,N/A,N/A
Frontiers of Information Technology & Electronic Engineering,"Yunhe Pan,",SPRINGER,2024,"Frontiers of Information Technology & Electronic Engineering is a peer-reviewed (double blind) journal that covers research in Computer Science and Technology, Information and Communication Engineering, Control Science and Technology, Electronic Science and Technology, Optical Engineering and Technology, Instrument Science and Technology, among others. Launched by the Chinese Academy of Engineering and Zhejiang University, and formerly known as Journal of Zhejiang University SCIENCE C (Computers & Electronics) (2010–2014). Published monthly and indexed by SCI-E (JCR-Q2), EI Compendex, SCOPUS, DBLP, CSCD, etc. Article types include Research Article, Review, Perspective, Correspondence, etc. Currently, the most preferred research areas are Artificial Intelligence and 6G Wireless Communications Hybrid journal supporting both the traditional mode and OA.",Journal,N/A,N/A
npj Science of Learning,N/A,SPRINGER,2024,N/A,Journal,N/A,N/A
Computer Supported Cooperative Work (CSCW),Kjeld Schmidt,SPRINGER,2024,"Bibliographical formalities The CSCW Journal has moved to the Chicago Author-Date format standard for citations and references. The journal has since its launch some 30 years ago been using a house format. The house format was devised and adopted because it, for a journal that should be a venue for scholars from very different disciplinary and cultural backgrounds, was important that the bibliographic information should be unambiguous and accessible to a heterogeneous readership, and because the common bibliographic standards left out much information and their use thus might give rise to ambiguities and hamper access to sources. However, with the widespread adoption of the DOI standard for publication IDs, the risk of ambiguity and disorientation has been seriously reduced. On that background, there is no longer any serious reason to require of authors that they use a bibliographic format that to many might seem esoteric and for which there are no standard templates. We trust our authors will appreciate this transition. Myriam Lewkowicz and Kjeld Schmidt Editors-in-Chief --------- Computer Supported Cooperative Work (CSCW): The Journal of Collaborative Computing and Work Practices is devoted to innovative research in computer-supported cooperative work (CSCW). It provides an interdisciplinary and international forum for the debate and exchange of ideas concerning theoretical, practical, technical, and social issues in CSCW. The CSCW Journal encourages contributions that are mindful of the relations between social-science studies of cooperative work practices and their requirements with respect to computing technology. For example, we would urge social scientists who have made a study of a workgroup to spell out clearly what the implications of their findings are for design of appropriate computer support. Equally, we would urge computer scientists reporting on a technological innovation in, say, meeting room support, to spell out clearly how this work is motivated by studies of meetings or what new studies of meetings it suggests. What is required, is that contributions to the CSCW Journal have visible implications for CSCW: implications for the development of practice-oriented computing technologies.",Journal,N/A,N/A
Arabian Journal for Science and Engineering,Bassam El Ali PhD,SPRINGER,2024,N/A,Journal,N/A,N/A
Journal of Scheduling,Edmund K. Burke,SPRINGER,2024,"The Journal of Scheduling is a peer-reviewed journal that covers techniques and applications of scheduling research, spanning several distinct disciplines. Provides new and novel techniques, applications, theoretical issues, and innovative approaches to problems. Represents the only interdisciplinary journal with broad coverage of scheduling techniques and applications. Assists readers in various fields, from computer science and operational research to retail and service industries, in solving complex scheduling problems. Highlights the latest advances in scheduling research and technology.",Journal,N/A,N/A
Science and Engineering Ethics,Behnam Taebi,SPRINGER,2024,"Science and Engineering Ethics is an international multidisciplinary journal dedicated to exploring ethical issues associated with science and engineering, covering professional education, research and practice as well as the effects of technological innovations and research findings on society. While the focus of this journal is on science and engineering, contributions from a broad range of disciplines, including social sciences and humanities, are welcomed. Areas of interest include, but are not limited to, ethics of new and emerging technologies, research ethics, computer ethics, energy ethics, animals and human subjects ethics, ethics education in science and engineering, ethics in design, biomedical ethics, values in technology and innovation. We welcome contributions that deal with these issues from an international perspective, particularly from countries that are underrepresented in these discussions.",Journal,N/A,N/A
Health Information Science and Systems,Yanchun Zhang,SPRINGER,2024,"Health Information Science and Systems is a multidisciplinary journal that integrates computer science/information technology with health science and services, embracing information science research coupled with topics related to the modeling, design, development, integration, and management of health information systems. The scope includes: Medical/health/biomedicine information resources, such as patient medical records, devices and equipments, software and tools to capture, store, retrieve, process, analyze, optimize the use of information in the health domain, Data management, data mining, and knowledge discovery, all of which play a key role in decision making, management of public health, examination of standards, privacy and security issues, Development of new architectures and applications for health information systems.",Journal,N/A,N/A
International Journal on Document Analysis and Recognition (IJDAR),"Koichi Kise,",SPRINGER,2024,"Sponsored by the International Association for Pattern Recognition, this journal is focused on publishing articles that cover all areas related to document analysis and recognition. This includes contributions dealing with computer recognition of characters, symbols, text, lines, graphics, images, handwriting, signatures, as well as automatic analyses of the overall physical and logical structures of documents, with the ultimate objective of a high-level understanding of their semantic content. The International Journal on Document Analysis and Recognition (IJDAR) publishes articles of four primary types: original research papers, correspondence, overviews and summaries, and system descriptions. It also features special issues on active areas of research. Currently indexed in : Academic Search Alumni Edition, Academic Search Complete, Academic Search Premier, Bibliography of Linguistic Literature, Compendex, Compuscience, Computer Science Index, Current Abstracts, Current Contents/Engineering, Computing, and Technology, DBLP, Google, INSPEC, Journal Citation Reports/Science Edition, OCLC ArticleFirst Database, OCLC FirstSearch Electronic Collections Online, PASCAL, SCOPUS, Science Citation Index Expanded, Summon by Serial Solutions, TOC Premier.",Journal,N/A,N/A
Clean Technologies and Environmental Policy,"Ofelia Q. F. Araujo PhD, MS, BS",SPRINGER,2024,"Clean Technologies and Environmental Policy is a scientific journal that publishes research on cleaner products, processes, and environmental policy strategies. As its title suggests, the journal has two major thrusts: Clean Technologies and Environmental Policy. The Clean Technology thrust addresses the science and engineering of clean technologies. Moreover, it examines mathematical and computer-based methods and models for designing, analyzing, and measuring the cleanliness of products and processes. The Environmental Policy thrust covers research advances in scientific, social, behavioral, and economics disciplines that are relevant to complex environmental policy issues. 
 In addition to research papers, the journal offers policy-oriented commentaries from world renowned leaders in environmental technology and policy research. It also features special issues focusing on topics of international concern.",Journal,N/A,N/A
Medical & Biological Engineering & Computing,Shanbao Tong,SPRINGER,2024,"Editor's Choice - Enjoy temporary free access to notable and innovative new research articles, chosen by the Editor-in-Chief. Review the latest listing under ""Journal Updates."" Medical & Biological Engineering & Computing serves the biomedical engineering community, covering the entire spectrum of biomedical and clinical engineering. Official journal of the International Federation of Medical and Biological Engineering (IFMBE). Founded in 1963 and expanded to 12 issues per year since January 2006. Presents vital theoretical and experimental developments in biomedical science and technology. Reports on advances in computer-based methodologies in multidisciplinary subjects. High author satisfaction with 94% of surveyed authors expressing intent to publish again.",Journal,N/A,N/A
